s,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",24-02-2026 15:00,26.80365,84.51954,SO2,8,14,10
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,NO2,6,11,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,SO2,52,62,58
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",24-02-2026 15:00,25.265194,87.012947,CO,79,96,88
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,SO2,1,33,20
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",24-02-2026 15:00,25.56752,83.966379,CO,20,28,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",24-02-2026 15:00,25.7808257,84.7446768,PM2.5,12,180,63
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",24-02-2026 15:00,25.7808257,84.7446768,NO2,1,1,1
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24-02-2026 15:00,24.7955,84.9994,SO2,27,29,28
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24-02-2026 15:00,24.7955,84.9994,CO,38,63,48
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24-02-2026 15:00,24.792403,84.992416,NO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,PM2.5,64,107,80
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,SO2,13,19,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",24-02-2026 15:00,14.465052,78.824187,CO,24,36,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-02-2026 15:00,16.9872867,81.7363176,NO2,12,112,51
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",24-02-2026 15:00,16.9872867,81.7363176,SO2,1,12,7
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",24-02-2026 15:00,13.67,79.35,SO2,5,12,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",24-02-2026 15:00,27.103358,93.679645,SO2,10,12,10
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",24-02-2026 15:00,26.1875,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",24-02-2026 15:00,26.1875,91.744194,OZONE,12,23,16
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-02-2026 15:00,16.5150833,80.5181667,NH3,3,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24-02-2026 15:00,16.5150833,80.5181667,CO,14,28,21
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",24-02-2026 15:00,14.675886,77.593027,PM10,48,84,64
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",24-02-2026 15:00,26.146529,87.454184,PM10,25,124,79
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",24-02-2026 15:00,26.146529,87.454184,SO2,19,59,39
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",24-02-2026 15:00,26.80365,84.51954,PM2.5,38,240,90
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",24-02-2026 15:00,16.486692,80.699436,PM10,48,62,54
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",24-02-2026 15:00,16.486692,80.699436,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",24-02-2026 15:00,16.509717,80.612222,OZONE,8,20,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",24-02-2026 15:00,26.446912,91.439057,NO2,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24-02-2026 15:00,24.82827,92.79525,OZONE,2,6,4
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24-02-2026 15:00,24.762518,84.982348,CO,18,52,31
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",24-02-2026 15:00,25.697189,85.2459,NO2,57,131,89
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",24-02-2026 15:00,17.72,83.3,NO2,31,147,71
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",24-02-2026 15:00,17.72,83.3,CO,8,56,33
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24-02-2026 15:00,24.792403,84.992416,SO2,43,46,45
